id,joke
0,最好保持沉默并被认为是傻瓜，而不是说出并消除所有疑问。
1,爱教会我撒谎，生活教会我死亡。
2,如果男人来自火星，为什么我们不能把他们送回去呢？
3,女人真是善变，昨天刚发朋友圈说男人都不是好东西，今天就说我是个好人。
4,"眼睛蛇高度近视，和大象初次约会。 客套一番后，眼睛蛇对着大象的鼻子说：""来就来吧，还牵这么大头猪来，你太客气了~~~~！！！"""
5,他们称我们的语言为母语，因为父亲很少说话。
6,甲：昨天晚上，你跟那女孩的第一次约会怎么样？ 乙：可以说成功了一半！ 甲：什么意思？ 乙：我亲吻了她两个脸颊，而她只抽了我一个耳光！
7,瞄准星星。但首先，瞄准他们的保镖。
8,一日叫一客户签名时，他一脸茫然，我便指着凭条上流水号下面打印的名字说，照着这三个字签就行。 他拿过去摸索了半天，递过来一看，上写三个字：“流水号”。
9,考驾照规定身高不低于1.5米。 老爸对我说：“你要去考驾照，开车就像无人驾驶。” 真心伤到了！
10,体育老师说短跑考试前需做好热身运动所以我带来了一壶开水。
11,波音：飞机撞击地面时发出的声音。
12,甲：哼！骗人！ 乙：怎么了？ 甲：软盘的容量明明只有1.2M或1.44M两种，哪有3M的？
13,一家人坐在电视机前看电视，内容是某国外城市山雨爆发。 爸爸：今年的气候不好，看这洪水多凶猛啊！ 儿子：爸爸，你说的不对，这是白水！
14,我似乎丢失了我的电话号码，我可以借你的吗？
15,为什么荷兰人的国家有两个名字，荷兰和荷兰，而且没有一个包含荷兰语这个词？
16,律师使用什么来控制生育？他们的个性。
17,在玩具车上的保险杠贴纸：我的另一辆车是消防车。
18,一位教社会学的老师打了个幽默的比喻说：西方国家的夫妇老是闹离婚，因为他们的爱神是个小娃儿。瞧瞧中国的月下老人，经验十足，所以中国夫妇的婚姻较为恒久。
19,妻子：孩子他爸，你看咱们宝贝儿子的成绩册，连着是四个2。 丈夫：是主牌呀！难得一下子来了四个，还可以横甩呢！
20,宿舍的饮水机热水出得超级慢，大概800cc得五分钟。 刚才mm去接水，边看网页边盯着饮水机的出水口，说: “实在受不了啦，它是不是前列腺有毛病啊？”
21,车开得飞快，一个老太婆趴在窗外看著我。
22,非常感谢！！致所有朋友，他们的贡献使这个页面成为可能！
23,在人生旅程中，我选择了心理路径。
24,当有人指向天空时，看着手指就是傻瓜。
25,航班风险：用于描述涉嫌计划很快离开公司或部门的员工。
26,语文课上，老师叫同学们用断线的风筝作比喻，小明这样写道：妈妈出差去了，爸爸像只断线的风筝，随处飘荡。
27,玻璃不是半空的，它只是它需要的两倍大。
28,在我这个年纪，行动比言语更响亮。
29,老总中午喝了酒，下午来到会议室开会，问身边的秘书：“人都到齐了么？” 秘书：“到齐了”。 老总大手一挥“上菜”！
30,"孩子：一张电影票多少钱? 售票员：二美元。 孩子：我只有一美元,能让我进去吗?我只用一之眼睛看就好了。"
31,妈妈：“苏丝，你今天在教堂里表现好吗？” 苏丝：“当然。当一个伯伯把一整盘子的钱伸到我的面前时，我说：‘我不要，谢谢您。’
32,你不能拥有一切，你会把它放在哪里？
33,我觉得自己被对角地停在一个平行的宇宙中。
34,蒂姆点击了几个按钮并解决了问题。
35,一位在商场当售货员的MM，第一次谈上了恋爱。她与男友初吻之后，顺口问道：“你还要别的什么吗？”
36,一女对出轨的老公说：你如果敢离婚娶那个年轻的妖精，我就嫁给妖精她爹，从此以后，儿子管你叫姐夫，你得喊我妈！ 老公当场晕倒，从此规规矩矩。
37,最明目张胆的恭维，就是把“悍妇撒泼”说成是“贵妃醉酒”。
38,如果你以光速行驶并且你开着头灯，会发生什么？
39,男人就像迷你裙，如果你不小心他们会爬上你的腿。
40,“如果你老婆和你情人同时掉进水里，请问你是再找一个丰满型的还是娇小型的？” “还找不会游泳的。”
41,我是一个单纯的男人。我想要的只是两个正常男人的足够睡眠，三个足够的威士忌，四个女人。
42,一哥们儿鼓起勇气在QQ上向MM深情表白。一会儿MM回复：“我是她的妈妈，我是来偷菜的。”
43,某男，妻经常红杏出墙，却若是不见。同事送一副对联。 上联：只要日子过的去。下联：哪怕头上有点绿。横批：忍者神龟。
44,静如处女，动如处男。
45,在一所宗教学校里，老师问学生：亚当和夏娃是在哪个季节被赶出伊甸园的？ 一个学生迅速回答：秋季。 为什么呢？ 因为，只有秋季才有熟了的苹果。
46,金庸没死说死了，一堆人辞职；矿工死了说没死，一堆人没事。
47,重要的事情总是很简单; 简单总是很难。
48,女：照片上的那个女人是谁？ 男：是在没有同你认识之前的那个姑娘。 女：好啊！这么说，你那时就对我变心了！
49,如果一切都是整体的一部分，整个部分是什么？
50,“你家还有几口人？” “还有三口，我爹，我妈，我哥哥。我哥哥比我大。”
51,老奶奶疼爱孙子，每天送孙子上学。 今天，他们到学校时迟到了，老师问他：“为什么迟到了？” 他说：“我奶奶走得太慢了。”
52,是对还是错：很多人穿着街头衣服比穿着睡衣睡得更好。
53,朋友们聚会，席间有人发表感慨：唉，现在有些男人说话娘娘腔，活象个太监。 话音刚落，又响起一个细细的声音为何都看着我！！
54,团结就是：一个和尚挑水吃，两个和尚抬水吃，三个和尚斗地主，四个和尚打麻将，五个和尚开心网偷菜 。
55,地理老师：哪位同学知道世界上什么地方总是烟雾缭绕？ 吉米：离我爸爸嘴边不远的地方。
56,一次一个地遵循这些说明，尽可能快！
57,如果发生火灾，请不要试图使用升降机 - 试试灭火器。
58,玛丽走进律师事务所说：我想了解一下，我是不是具有离婚的基本条件。 律师问：你结婚了吗？ 玛丽：当然结婚了。 律师：你已具备了离婚的基本条件。
59,上班就是要发扬死猪不怕开水烫的精神！
60,"男人与女人,终究也只是欲望的动物吧!真的可以因为爱而结合吗?对不起,我也不知道。"
61,母亲：儿子，只要你好好学习，长大就可吃工资了！ 儿子：妈妈，现在就让我吃吧！ 母亲：现在不能吃。 儿子：可我现在很饿，工资在哪里？
62,你身材很好，好的连孙悟空看见你，都会给你三棍子了。
63,公园、河堤、草坪、茶楼与舞厅等休闲的地方，全部使用2000瓦的碘钨灯，让丫的想偷偷摸摸谈情说爱的情人们找不到一个落脚的隐蔽地儿……
64,有两种类型的人可以告诉你关于你自己的真相：一个发脾气的敌人和一个深爱你的朋友。
65,我知道批评并不像破坏那样有效。
66,毕竟说完了之后，说起来还有很多事要做。
67,你的朋友正和一个半岁的人约会，并没有违反任何法律。
68,有一天，我和家人坐着面包车去县城，在经过一个写着“种羊”两个字的广告牌时，我姐突然问了一句“羊是种出来的么？”
69,犹太人听过的一个笑话，知道如何更好地说出来。
70,我生活很高尚，但最终我建立了宽容。
71,现实中用真名说假话，网络中用假名说真话。
72,当它在步行距离之内时，不要让人疯狂。
73,有人在一个网站注册了一个用户名“爹”，结果它给我发来邮件，一看就震惊了，“爹，您好，恭喜您，您的用户名已经注册成功了！”
74,有一天，我在做判断题的时候，看见素数， 就问同学：“素数是什么？” 同学说：“这都不知道，素数就是很朴素的数字。”
75,杭州灵隐寺星巴克店。 “服务员，我点的是一杯卡布奇诺，你给我一个空杯子干嘛？” “哦，施主，空即是满，满即是空。”
76,垃圾是你保存多年的东西，在你需要它之​​前三周扔掉。
77,妻子对丈夫说L：你总是午夜之后才从酒店老板娘那儿回来，想想看，邻居该怎么议论你？ 丈夫回答说：请放心，我把邻居都留在老板娘那里了。
78,芭芭拉 - 像兔子一样乱糟糟，对外表不挑剔。
79,软件错误只有在软件被业界认定为过时后才能更正。
80,春天与出轨的共同点是：绿得不知不觉。
81,你现在过得好吗？如果你过得不好我也就安心了。
82,现实是一个虚构的概念，我发现在美学上很有吸引力。
83,如果猫和狗没有毛皮，我们还会宠他们吗？
84,偷了我钱包的小偷翻开只看到五块钱潸然泪下感叹：“都不容易啊！”。
85,猫在绑它们时必须攻击人类的鞋带。
86,我的婚姻是基于他相信他赢得了争论。
87,竞选助理：“议员先生，有个歇斯底里的女人在电话中吼叫，她想知道你对堕胎有什么看法。” 参议员：“呃，告诉她，我明天一早就把支票寄过去！”
88,盖伊（跟朋友说话）：我猜她不喜欢披萨。
89,爸爸：“儿子，你怎么哭了？” 儿子：“我刚才打扫鸟笼，把你心爱的金丝雀弄没了。” 爸爸：“你怎么打扫的？” 儿子：“我用吸尘器了。”
90,约翰不知该送什么东西给他的同龄女友做生日礼物于是他问祖母说：祖母，要是明天是你的十六岁生日，你想要什么？ 祖母欢快地回答：我什么别的东西都不要了。
91,"修养的艺术,其实就是说谎的艺术。"
92,小红和妈妈在看电视，忽然，小红把电视关掉了，妈妈急忙问：“正看在精彩的地方你怎么关了啊？” 小红说：“我要等爸爸回来一起看这最精彩的片段！”
93,我一天有事要很晚回来。gg说他在车站接我，结果我爸开车来接我了。 gg说：妈的，抢我生意！ 狂汗……
94,在人们停止聆听之前，总是试着停止说话。
95,如果你做不好，那就让它看起来很好。
96,女儿：妈妈，我将来做什么工作好？ 母亲：三百六十行行行都可以考虑，就是别当话务员！ 女儿：为什么？ 母亲：那行当尽由别人说了算。
97,他们是否在特奥会上为非残障人士预留了停车位？
98,都想抓住青春的尾巴，可惜青春是只壁虎。
99,如果排长能看到你，敌人也可以。
100,整死一个人，最毒辣的招数，莫过于把他的身份证藏起来…… 让他回家买不到票~快递取不到货~考试办不了准考证~宾馆开不了房！
101,本世界最伤狗的一句话：当你老了，你的自拍可能就是你的全家福。
102,孩子长了个长脸，委屈地说：“都怪妈妈，让我长（zhang)脸长脸，一定要长脸，结果我就长了个大长(chang)脸。”
103,请不要把我对你的容忍，当成你不要脸的资本。
104,忙碌是一种幸福，让我们没时间体会痛苦；奔波是一种快乐，让我们真实的感受生活；疲惫是一种享受，让我们无暇空虚。
105,弯曲香蕉的家伙到底是谁？他为什么要这样做？
106,制造汽车需要一百万个坚果 - 只有一个能够破坏它！
107,医学院的学生告诉我说他终于明白什么叫做生不如死了，那就是，停尸房有空调，他们寝室没有。
108,顾问是指那些你理解的主题并使其听起来令人困惑的人。
109,老王在餐厅坐了很久，看到别的客人吃得津津有味，只有他仍无侍者来招呼，便起身问老板：对不起，请问我是不是坐到观众席了？
110,将圣水与蓖麻油混合后你会得到什么？
111,当另一个“无关”部分被修改时，错误将出现在工作程序的一个部分中。
112,等我有钱了，我就买一辆公交车，专门走公交专用车道，专门停在公交车站，等有人想上车了，我就说：对不起，这是私家车。
113,老公昨晚夜班。 临睡前给老公发了个信息：“我一晚上快被自己的屁熏死了。” 老公回：“真对不起，没在家和你一起分担。”
114,每个员工都带着大脑，绝对不需要额外费用。
115,怎么啦，怎么啦，我的宝贝儿，你出了什么事呢？经理问他的美貌女秘书。 我必须向你埋白承认一件事实：我当你的秘书已经三年了，可我根本不会打字。
116,"4岁的男孩亲了3岁的女孩,女孩认真的问:你亲了我会对我负责吗? 男孩拍拍女孩的肩膀:你放心!我们已经不是一二岁的孩子了!"
117,刚才跟舍友说，下节课我不上了。 舍友问，为啥。 我直接来了句， 手机没电了。
118,总是从悲观主义者那里借钱。他们不希望得到回报。
119,罪犯甲：你男扮女装，为什么警察还是发现了你？ 民罪犯乙：我习惯性地进了男厕所。
120,你知道肠道坚韧不是一种健康食品补充剂。
121,我们必须相信运气。我们怎样才能解释那些我们不喜欢的人的成功？
122,丈夫：唉，娶一个妻子要花几万元，真难啊！ 妻子：亲爱的，给你生个宝贝儿子不就行了。 丈夫：怎么，生儿子？生个乖女儿吧，也许还能捞回娶你的那笔钱。
123,某化学老师向一女求爱，曰：你是H，我是O，我们结合在一起就是H2O，这是最稳定的结合。 女答：另一个H在哪？
124,我把斑点去除剂洒在了我的狗身上，现在他已经离开了。
125,纽约：你有权保持沉默，你有权获得律师......
126,买香烛，老板说要买这要买那，不然老人在下面过得不好。 后来直接问老板要了名片，说把你名片烧给老人有需要直接找你好了。
127,一对苍蝇母子正在吃饭，儿子皱着眉头问母亲：“妈妈，我们为什么要每天站在大便上，大便好脏啊!” 妈妈说：“不要在吃饭的时候说那么不卫生的事。”
128,你可能有一颗金子般的心脏，但煮熟的鸡蛋也是如此。
129,丈夫一时爱上了摄影，一下班便钻到临时改建的暗房中去工作。 妻子为此大为不满，她高声埋怨：你究竟拍了些什么见不得人的照片，非得躲到黑屋子里去冲？
130,老板对人事主管说：“为了节约开支，我决定裁员十人，这一决定是不可更改的。” 人事主管：“可是我们总共只有六个人可以裁掉。” 老板：“那你马上招四个人进来。”
131,当成功归于某人的头脑时，它通常在那里找不到任何东西。
132,一个同学身高一米八几，但是他父母身高都不到一米七，我们嘲笑他是不是基因突变了？ 他很生气地说：谁说我突变了，我二叔一米八呢！ 然后，大家都沉默了……
133,气候是你所期望的：天气就是你得到的。
134,我们学校有两个食堂，一个在一楼，一个二楼，不同老板。新学期一楼食堂拉横幅：祝同学们新学期更上一层楼！ 第二天，二楼支起一块小黑板：谢谢楼下支持！我们会更努力为同学们服务！
135,同学失恋，我去安慰她，说了一句：“节哀顺便 。” 女同学听后想了三秒擦完眼泪， 挤出点微笑说：“那么多人就你会安慰人。”
136,那个男人伸进口袋，掏出确切的款项付款。
137,寇准听闻佘太君欲亲率一众女眷出征， 忙来相劝：“太君，你们何苦呢？” 所有寡妇双眼冒火，一字一顿同声质问：“你死过老公吗！”
138,医生称他们做什么“练习”是不是有点令人不安？
139,电台台长与人事处长相遇，俩人总话不投机。 人事处长：“你上班就上台，下班就下台。” 电台台长：“你上班就办人事，下班就不办人事。”
140,太可惜了。所有在住宅区的零售猫。
141,感情就像买股票，选上了垃圾股，亏了，那不打紧，关键是学会止损，但最怕就是你不承认自己眼光的失败，盲目持有，望待回升，结果，等啊等，等到花儿也谢几回了。
142,如果去教堂让你成为一名基督徒，去车库会让你成为一辆车吗？
143,吃惊！我高中同学和初中同学竟是一个人。
144,贫僧是自东土大唐而来，专程去往西天拜佛求亲的。
145,足球结合了美国人生活中最糟糕的两件事。这是暴力，由委员会会议打断。
146,如果我把你拉近了，我会在你的另一边。
147,谈到爱情，智者和傻瓜之间没有区别。
148,周杰伦曾两次光顾复旦食堂： 第一次是在2001年，走后创作了《范特西》； 第二次是在前不久，走后便有了《依然范特西》！
149,幼儿园老师说：尿床一次罚三元，二次五元，三次七元。 我正想问老师包月多少钱，就看见你举手说：老师，我要办VIP会员年卡！
150,维利，什么是同义词？女老师问。 维利答道：同义词就是，当你不知道基本词确切的写法时，用以来代替的词。
151,我们很抱歉，但现在还没有服务。
152,男粽子啪地给了女粽子一耳光，骂道：我们都是红枣馅的，怎么我的儿子，是猪肉馅的！
153,课堂上，老师说：“不一定姓什么就怎么样，姓牛的其实都不牛，你们看，历史上哪有姓牛的出名人物？” 角落里，一个低沉的声音响起：“牛顿！”
154,我知道空手道！......还有其他几个日语单词。
155,杨振宁娶了翁帆后，他的好友说：真是委屈了人家姑娘，你都可以做她爷爷了。杨很不满：我更委屈，她爷爷比我小两岁，可我还得装孙子！
156,如果数字2铅笔是最受欢迎的，为什么它仍然是2号？
157,你妈和你女朋友掉油锅里了，你先吃谁？
158,成功就是能够在不失去热情的情况下从失败走向失败。
159,错误：按任意键除外..不，不，不是那个！
160,一位护士小姐走进病房里，好容易才弄醒了一个已经酣然入睡的患者。 你要干什么？病人很不高兴。 你必须按时服药。护士小姐说完，同时递上两粒安眠药。
161,萤火虫：没有危险意识，缺乏消防观念，涉嫌故意纵火罪。
