id,joke,label
0,我工作的时候会吹口哨，但我所知道的都是快乐的歌。,3
1,林达的顶头上司来他的家里批评他，因为他今天上班时顶撞了上司。 上司一进门，他养的狗就狂吠，上司不高兴地说：“你的狗怎么和你一样的无礼取闹。” 林达说：“尊敬的上司，只有狗看到它的朋友才会如此热情。”,5
2,火车票比较难买，学前放假前十天去车站买票。 在排队时听到一兄弟问售票员：“去上海的车还有没有啊？” 售票员对着喇叭淡定地说：“车有，票没了。”,3
3,猫因生活所迫在狐狸开的发廊坐台，一日老鼠来到发廊点名要将猫包夜，猫誓死不从，老鼠大怒道：当初追老子追得死去活来，现在送上门来还假正经！,5
4,老子问儿子：“小子，你读了几年书，晓得人的脚板为什么向前生长不向后生长吗？” 儿子答道：“因为后脑壳没长眼睛，看不见路，脚板如果向后生长，走路就会碰壁……” “蠢仔！脚板向后生长，跑起步来，前面的人就会踩着后面人的脚板，懂吗？”,3
5,记得高一时候考地理，全班考砸， 地理老师大怒：“填空题白送的40分，居然有人打10分，20分？ 打十分到二十分的全都给我站起来，把卷子抄十遍！” 这时同桌长叹：“好险，我21分。” 正在庆幸时，后边一哥们也幽幽叹息：“我也好险呐，我9分。” 我和同桌集体石化。,5
6,有一天去天津比较出名的大桥道食品店买吃的。差不多每次都要买老婆饼吃吃！结果那天我看到新出了一种稍微小一号的饼，样子基本一致，可是我不确定，于是向售货员阿姨发问：“这个是小老婆饼吗？？” 结果全场白眼！,3
7,妻：今年春季不知会流行什么时装？ 夫：只有两类，一种是你不合意的，一种是你合意而我买不起的.,1
8,我刚刚经历了一年一度的折磨和羞辱朝圣之旅，称为买泳衣。,3
9,小彼得的母亲有一天晚上给彼得讲她儿童时代的故事。当她讲到在水池边涉水玩，采果子，骑马时，彼得的眼睛越睁越大：啊呀！妈妈，他叹口气道，我真希望早一些遇到你！,1
10,如果更多的男人知道如何跳舞，世界会跑得更顺畅。,3
11,督学到某学校视察，看见教室里有个地球仪，便问学童甲：你说说看，这个地球仪为何会倾斜23．5度？ 学童甲惶恐地答道：不是我弄歪的！ 督学摇摇头，转问学童乙。学童乙双手一摊，说道：您也看见，我是刚刚才进来的！ 督学疑惑地问教师怎么回事。教师满怀歉意他说：不能怪他们，这地球仪买回来时已经是这样的了。 校长见督学的脸色越来越难看，忙解释：说来惭愧，因为学校经费有限，我们买的是二手货。,1
12,没结婚的同居，结婚的分居； 动物像人一样穿衣，人像动物一样露肉； 小孩像大人一样成熟，大人像小孩一样幻稚； 女人像男人一样爷们，男人像女人一样娘们； 没钱的像有钱的一样装富，有钱的像没钱的一样装穷； 情人像夫人一样四处招摇，夫人像情人一样深居简出。,1
13,突然想起高中军训的事了，大热天，没人想训练， 女生方队教官看她们没精神，就说：“好好练，练好了，我教你们女子防身术” 女生一听来精神了，队列走的呱呱的。我们男生方队教官一看这么有效， 就和我们说，“你们加紧训练，完了我教你们怎么破女子防身术”我们一听， 精神头更足了，结果一下午两个方队没停下过， 连校长都夸我们风华正茂呢。。,3
14,吉尼斯世界纪录保留了最常被公共图书馆窃取的书籍记录。,3
15,我甲沟炎，去医院。 医生看了一眼，说：“拔掉指甲。”接着，他指定一个实习的小姑娘来给我动手术，打好麻药，拿着剪子、刀子和夹子开始折腾我的指甲。搞了半天，愣是拔不下来，小姑娘竟然气愤地警告我：“你千万别叫，不然我一定会昏过去的。” 我惊呆了。,3
16,老师：“如果把你们比喻成美丽的鲜花，那么老师可以比喻成什么？” 学生：“不知道。” 老师：“再想一想，经常拿一把剪刀，在花丛边溜达的是什么人？” 学生：“我知道了，是采花大盗。”,5
17,姐夫个性木讷寡言，与内向的姐姐正好是一对。 婚前二人同事3年，彼此虽然有意，却没有勇气表白。后来在同事安排下，他们开始约会了。 姐姐羞怯怯地问道：为什么每次我们四目相投的时候，我总觉得你的眼里有很特别的东西？ 姐夫脸红红地答道：哎呀！你怎知道我有砂眼的？不过请放心，医生说差不多已痊愈了。,1
18,老杨跟老板出去，司机是一个老实的人，离过婚，前妻红杏出墙。 老杨途中停下来帮老板买烟，正巧遇见前妻， 一见到老杨就各种嫌弃各种侮辱，这时老板就看不下去了， 从副驾驶下来小跑到老杨面前， 一脸媚像的说：“杨总，这女人也忒贱了，俺帮你收拾他。” 然后啪一耳光。女人惊鄂的看着老杨......,3
19,女：“我要是和你妈同时掉河里了，你先救谁？” 男：“哼哼，我妈早就料到你们会问这样的问题。为了我们哥仨的幸福，她硬是在50岁的高龄把游泳学会了！”,5
20,有个小男孩，有天放学后，问他的妈妈：“妈妈，我到底是从哪里来的？” 妈妈觉得这个问题不好回答，但应该趁此机会教育小孩，就一本正经地以 猫狗为例，支吾地谈及生殖的过程。 儿子听完后，一头雾水地说：“怎么会这样？我的同桌说他是从山西来的！”,5
21,你认为一个印度商人会给你一个更好的交易，因为他是印度人。,3
22,他们总是在热水中，缺乏味道，他们需要面团。,3
23,你的室内植物还活着，你不能吸烟。,3
24,阿凡提的家来了几位客人，待客人走后，他担心家里的土台子丢失，便数了一下，发现八个土台子少了一个。他立即骑上毛驴去追那些客人。半路上遇见了一位磨坊主，他问磨坊主：你看见有人拿着土台子经过这里吗？ 磨坊主听了，想耍弄他一下，说道：土台子这玩艺儿很重，也许你的客人举着土台子累了，在什么地方歇着呢。请你在这儿坐下睡一会儿，等你醒来，他没准儿就过来了。 阿凡提觉得有理，便躺下睡了过去。那位磨坊主趁他睡熟之机，把阿凡提的胡须剪了下来。过了好一会儿，有人骑着马从这儿奔驰而过。磨坊主叫醒阿凡提说：阿凡提，快起来，你的那位客人把土台子放在马上刚过去。 阿凡提立刻爬起来就追，追了好远也不见骑马人，只见飞扬的一片尘土。他气得说了声等着瞧！然后一摸胡子。可胡子不见了，又说道：这个糊涂虫磨坊主原来叫错了人，他把自己当成我了！,1
25,一天，老师带学生去参观烈士就义前的监狱。 老师说：“同学们，墙上有很多诗，很有教育意义。大家读一读。” 这时小名说：“老师这里有一首！！” “那你就读一读吧。”老师说。 “好！”小名就开始读了，“我被敌人抓住，他们要我说出机密。第一天敌人给我很多钱，我没有说。第二天敌人严刑拷打我，我还是没说。第三天，敌人给我领来一个女人，我就说了。第四天我还想说，可是敌人把我拉出去枪毙了。” ……,3
26,一个穷人和一个富人到县衙打官司，县太爷一拍惊堂木“啪”，问下面：“你们两个有什么事。” 富人抢先回答：“回县太爷，不关小人的事，小人是个很讲理的。” 县官点点头：“讲‘礼’就好，讲礼就好，先一边站着吧！” 穷人一听富人这么说也赶紧主动说：“小人也是个很讲理的人。” 县官乐了：“你也是很讲‘礼’的人，好哇！本县就喜欢讲礼的人。退堂，明天再议。” 第二天升堂后，县官一拍惊堂木：“把那个穷人重打四十大板，送进大牢。” 穷人忙喊冤枉：“小人是个讲理的人。” 县官一甩袖子：“讲理不送礼，有个屁用，退堂。”,5
27,一个女性朋友和一个男性gay合租房子。 有一天晚上她很沮丧，那个gay很体贴地给她下了碗面。她突然觉得很温馨，就说：“要不我们就这么凑合过过算了。” 没想到gay脸色大变：“你没男人要，我可有的！”,5
28,冬天的时候，校门口来了卖烧饼的 可惜俺的口袋是比脸还干净 然后，只能眼巴巴的看着童鞋们买 就在这时、卖烧饼的大喊：“卖烧饼了，凉了不要钱。” 于是我跑了过去说：“大哥，给我来个凉的吧！” 卖烧饼的瞬间在北风中凌乱了。,5
29,有兄弟二人，合伙请一个教书先生，两人商定，按日期轮换供伙食。每当交接的日子，两人必定互相推托，新接的总怪先生消瘦，责怪另一个伙食供给得太差。于是，兄弟二人约好，每到交接日，便秤斤两，作为交班肥瘦的凭证。 一天，弟弟要把先生交给哥哥，临交之前，让先生吃了一顿。谁知上秤时，先生放了一个屁。弟弟立刻责怪先生说：秤上的买卖，怎能轻易放出来？不用费话，再给我吃了下去！,1
30,一个龙舌兰酒，两个龙舌兰酒，三个龙舌兰酒，地板。,3
31,我打算永远活着。到现在为止还挺好。,3
32,在一个偏僻的村庄，一条羊肠小道上，有一根笔直的电线杆，说也奇怪常常有人在那出事。前不久就有一对年轻男女被卡车撞死。 一天晚上，5岁的孩子和妈妈在回家路上经过那儿，孩子突然说：“妈妈，你看，电线杆上有两个人。” 妈妈立刻觉得毛骨悚然，只见孩子指着上面.妈妈抬头一看，电线杆上挂着个牌子上写：交通安全，人人有责！,3
33,加拿大外交官切斯特·郎宁在竞选省议员时，因幼年时吃过中国奶妈的奶水而受到政敌的攻击，说他身上一定有中国血统。 郎宁反驳道：你们是喝牛奶长大的，那身上一定有牛的血统了！,3
34,妇人在公园里一条长椅上坐下，四顾无人，便把腿伸直放在椅上松弛一下。过了一会，一个流浪汉走到她面前说道：美人儿，一起散散步如何？ 你好大的胆，妇人说，我可不是那种勾三搭四的女人！ 那么，流浪汉说，你在我床上干什么？,3
35,我小外甥小时候很喜欢睡觉，一次睡到太阳照到他的脸。 穷叫：“把灯关掉！把灯关掉！” 告诉他是太阳后，他又翻个身不耐烦地叫：“哦，那把太阳关掉！”,3
36,某君早晨起床，老婆一脸鄙夷地看着他。 “你昨晚做梦了吧？”， “你怎么知道，我好像梦见打仗了，还杀了几个日本鬼子……”， 老婆不屑地打断他的话：“杀个屁啊， 在老娘耳旁太君太君地叫了一晚上，绝对是汉奸……”,5
37,某文艺挫男，父母卧病，家里穷得叮当响，老婆又肥又丑。 挫男万念俱灰之时遇到灯神，灯神说把你的愿望写出来， 我会满足你，挫男写：愿父母是健康的，家庭是富裕的， 妻子是美的。挫男回家，看到房子变得富丽堂皇，父母精神矍铄， 兴冲冲跑进了自己的房间，看见床上躺着个空调。,3
38,一天有一男子去看医生，说：“大夫我病了，请你给看看”。大夫看完后说“以后酒要少喝”，“我不喝酒啊”大夫又说“烟要少吸”，“我也不吸烟啊”。 大夫沉思了一下说“房事要减少”，“我不喜欢房事，很少的”。大夫看了看病人，说“那你还活个什么劲”。,3
39,妞妞姥姥年过七十，妞妞用手机给姥姥看给她拍的照片， 教她：你看完一张就触摸手机轻轻从右到左翻一下。 姥姥刚翻一张，翻第二张的时候竟然食指沾了一下唾沫。 姥姥，你是看书吗？,5
40,没有必要做家务。四年后，污垢不会变得更糟。,3
41,北京的暴雨，各家网站的预警短信发到位了、CCTV的转播车到位了、消防车到位了、排水车到位了、沙袋到位了、领导到位了、泡面物资到位了。 甚至领导都已经卷好了裤脚准备下水抢险了。 结果，天津淹了。,3
42,今天和两个好兄弟去吃自助火锅，餐厅环境很好，还放音乐。 一曲完了，换了个dj歌曲，吃着，吃着我一个兄弟唉声叹气的，我问怎么了？ 他叹口气，叫服务员过来，声音很大的来了句：“你们放的什么音乐吗，叫人怎么吃吗，你试试能跟得上节奏不……”,3
43,"02年我有一哥们A要当兵,派岀所要到学校去政审（他湖北上学，老家在江苏）警官不认识路，他便一同前往。审完后警官要他一同去了西安,我得到消息，赶紧给其打电话：让他给带个西安特产回来。后来又一哥们B来找我玩，我把这事告诉了B，B也给A打电话要特产，还特别交待，要那种西安有很多，江苏几乎没有的东西。两天后A回来.给我一个礼品盒，又给B一个更漂亮的礼品盒（包装十分精美）并对B说：你打电话的时候我己经上车了，只能给你这个，包装还是回来搞的。B笑嘻嘻接了过来。我老嫉妒了，恨恨的打开礼品---是一套兵马俑模型。B也打开礼盒…哇噻：里面整齐的摆放着一份西安很多江苏几乎没有的《华商报》………",5
44,某女经常熬夜通宵，可是天生丽质，经常有人追求，一天，她问一个追求者：说说你追我的理由？ 那男滴答道：“都说你是熬出来的，我猜味道肯定很不错！！！”,3
45,我爸的外甥女和我在一家公司，但我们姐妹俩不熟，别人以为我们不认识。 和我相处了三个月的男友现在去追她了，因为大家都知道她舅舅是公司董事。 但是却没人知道，她舅舅其实是我爸……,3
46,整死一个人，最毒辣的招数，莫过于把他的身份证藏起来…… 让他回家买不到票~快递取不到货~考试办不了准考证~宾馆开不了房！,1
47,考试前带进去四张小抄，出来时怎么找都只有两张。 后来担心的事情终于发生了：挂科。 没想到的事随后也出来了，我居然被当作案例在学生大会上公布：某些同学小抄都不会用，夹在卷子里面就交了！,5
48,"“喂,怎么样,弗瑞德利克？”父亲问，“你的女老师满意你吗？” “啊,是的,爸爸,十分满意！” “你怎么知道？是她亲口对你说的？” “当然,爸爸。前天她对我说，‘要是所有的学生都像你这样，我马上就离开学校。’这说明,我已经全学会了。”",3
49,孙子一手摸着爷爷的光头一手捋着爷爷的胡子说：“爷爷，人一变老，是不是头发都转移到下巴上了呢？”,1
50,一天国文课，老师要同学解释成语的意思。 老师：厚古薄今是什么意思？ 小星举手答道：古代的女孩子想的是衣服要穿越多越好，现在的女孩子想的是衣服要穿越少越好。,1
51,看了几天《甄嬛传》，跟室友说话开始拿腔拿调的，“咦，你今儿买的蛋糕是极好的，厚重的芝士配上浓郁的慕斯，是最好不过的了。我愿多品几口，虽会体态渐腴，倒也不负你的好意。” “说人话。” “蛋糕真好吃，我还要再吃一块。,3
52,这年头， 干爹干了老公的活， 小三干了纪委的活， 城管干了地痞的活， 教授干了流氓的活， 医生干了杀手的活， 网友干了媒体的活， 主持人干了赵本山的活， 临时工干了正式工的活 ， 连黄灯都干了红灯的活！,3
53,有个穷人储存了三四坛子米，自以为很富了，有点沾沾自喜。 一天，他与同伴到市场上去，听见路上一个人告诉另一个人说：今年我家收米不多，总共才收了三百余担。 穷人告诉他的同伴说：你听这人分明在说谎，我就不信他一家能有这么多盛米的坛子。,1
